epinephrin,1140,
thunderbeat,1092,
lasar,996,
colography,744,
diskectomy,690,
her2,690,
reexploration,618,
midisthmic,522,
paraincisional,438,
n1a,366,
antiinflammatories,342,
mri,330,
dentoskeletal,318,
t1c,1116,
t1b,834,
infus,822,
maskett,762,
ecic,612,
cca,564,
dril,456,
si30nb,456,
t1a,426,
12months,402,
2months,390,
grade2,372,
endoloop,366,
flareup,348,
afib,342,
angiocath,342,
hm3,342,
kimker,342,
omega3,336,
radiesse,330,
infusaport,312,
localis,312,
euthermia,306,
insitu,306,
t4b,306,
ppgs,300,
t1cn0m0,294,
nurulon,288,
thrugh,288,
eus,282,
vicryl,282,
midto,276,
deepithelialized,270,
reexcised,270,
t1n0,264,
laproscopic,258,
uiu,258,
coilable,246,
suburethrally,240,
ut3,234,
propanolol,228,
stoppa,228,
evlt,222,
si40nb,222,
sm1,216,
t1n0m0,216,
mngi,210,
barrette_s,204,
chiari1,204,
coxarthrosis,204,
mph,204,
endoloops,198,
ca19,192,
caregivers`,192,
siq,192,
type2,192,
valsalva,192,
vsl,192,
ain3,186,
normoreactive,186,
statcare,186,
liposclerosis,180,
3months,174,
ain1,174,
flareups,174,
hernia_s,174,
lets,174,
t3n0m0,174,
1months,168,
comcare,168,
t2n0,168,
upbiting,168,
ain2,162,
rangular,162,
followthrough,156,
overdrainage,156,
ser4,156,
vesicouteroperitoneum,156,
viabahn,156,
accessary,150,
dicuss,150,
pseudoherniation,150,
s1distribution,150,
subocciput,150,
t4a,150,
trimline,150,
x1,150,
grade3,144,
n2a,144,
n2b,144,
nsaids,144,
osteonics,144,
reexplored,144,
vitrabond,144,
eoc,138,
odontectomies,138,
orthopaedic,138,
p.r.n.basis,138,
bsro,132,
gurba,132,
kli,132,
microfoam,132,
sirtex,132,
baha,126,
flagyl,126,
infraxiphoid,126,
pursestringed,126,
reexcise,126,
relumpectomy,126,
retrogenia,126,
serc,126,
ur6,126,
11months,120,
15months,120,
1miles,120,
butalbital,120,
desufflating,120,
dosepak,120,
fibuch,120,
lesliethomas,120,
luetjes,120,
mauery,120,
mr,120,
neurolon,120,
nucleoplasty,120,
si30,120,
t2n1m0,120,
t3n1,120,
vomerian,120,
hemoclip,114,
obicularis,114,
polydek,114,
sonocine,114,
t2b,114,
t3n0,114,
coud,108,
gastrosoleus,108,
grave_s,108,
keflex,108,
lortab_5+A25,108,
nonmass,108,
nonsmall,108,
radialized,108,
reresected,108,
scarpas,108,
14months,102,
ab1,102,
cck,102,
cybertech,102,
hyperflatulence,102,
moveable,102,
platysmaplasty,102,
6y70,96,
bielliptical,96,
caregivers_s,96,
discopathies,96,
downfracture,96,
encephalomyosynangiosis,96,
heent,96,
l5distribution,96,
m1a,96,
omm,96,
permcaths,96,
preopped,96,
vin3,96,
vitreus,96,
ypt3,96,
4months,90,
5months,90,
6y81,90,
acom,90,
bactrim,90,
d'd,90,
hemidissect,90,
iplan,90,
jaspersen,90,
marcaine,90,
mefty,90,
miu/l,90,
nondelivered,90,
pcom,90,
septra,90,
sheathogram,90,
subsmas,90,
tp,90,
two/,90,
vagpak,90,
valsalvas,90,
x10,90,
10months,84,
antihormonal,84,
couda,84,
cystometrics,84,
dantomes,84,
detrolla,84,
ki67,84,
navcare,84,
nonturbid,84,
pancrease,84,
transfascial,84,
xylocaine,84,
acrosoft,78,
alteratives,78,
betadine,78,
cm,78,
cushing,78,
guyons,78,
itook,78,
kinevac,78,
lcdr,78,
mlh,78,
msh2,78,
nydic,78,
pseudosciatic,78,
pt1,78,
rsvg,78,
s1nerve,78,
squard,78,
strictureplasty,78,
veru,78,
1to,72,
6months,72,
endartectomy,72,
hemashield,72,
hm2,72,
hyperexostosis,72,
iassured,72,
idescribed,72,
ileoloop,72,
middescending,72,
midrectal,72,
mtmc,72,
proximalization,72,
si40,72,
sonicision,72,
suprastructure,72,
to10,72,
x10days,72,
ypt2,72,
arecent,66,
artherosclerotic,66,
cervicouterine,66,
crani,66,
crepiness,66,
cri,66,
ct3,66,
cystoperitoneal,66,
dilaudid,66,
erpr,66,
exvacuo,66,
feet4,66,
gortex,66,
hmlh1,66,
in1,66,
ipss,66,
levaquin,66,
lft_s,66,
musculoperiosteal,66,
noncolonoscopically,66,
oltmer,66,
one/two,66,
otherwisewill,66,
pms,66,
ps2,66,
pt2,66,
reexpansion,66,
resiting,66,
ringplasty,66,
t3n1m0,66,
